,Names (EN),Description (EN),Bill Sponsor,Status,Adam Vaughan,Alain Giguere,Alex Atamanenko,Alexandre Boulerice,Alexandrine Latendresse,Alice Wong,Andre Bellavance,Andrew Cash,Andrew Saxton,Andrew Scheer,Anne Marie Day,Anne Minh Thu Quach,Annick Papillon,Arnold Chan,Bal Gosal,Barry Devolin,Ben Lobb,Bernard Trottier,Bernard Valcourt,Bev Oda,Bev Shipley,Blaine Calkins,Blake Richards,Bob Dechert,Bob Rae,Bob Zimmer,Brad Butt,Bradley Trost,Brent Rathgeber,Brian Jean,Brian Masse,Brian Storseth,Bruce Hyer,Bruce Stanton,Bryan Hayes,Candice Hoeppner,Carol Hughes,Carolyn Bennett,Cathy Mcleod,Charlie Angus,Charmaine Borg,Cheryl Gallant,Chris Alexander,Chris Charlton,Chris Warkentin,Christian Paradis,Christine Moore,Chrystia Freeland,Chungsen Leung,Claude Gravelle,Claude Patry,Colin Carrie,Colin Mayes,Corneliu Chisu,Costas Menegakis,Craig Scott,Dan Albas,Dan Harris,Dany Morin,Daryl Kramp,Dave Mackenzie,Dave Van Kesteren,David Anderson,David Christopherson,David Mcguinty,David Sweet,David Tilson,David Wilks,David Yurdiga,Dean Allison,Dean Del Mastro,Deepak Obhrai,Denis Blanchette,Denis Coderre,Denis Lebel,Denise Savoie,Dennis Bevington,Devinder Shory,Diane Ablonczy,Diane Finley,Dick Harris,Djaouida Sellah,Dominic Leblanc,Don Davies,Earl Dreeshen,Ed Fast,Ed Holder,Ed Komarnicki,Elaine Michaud,Elizabeth May,Emmanuel Dubourg,Erin Otoole,Eve Adams,Eve Peclet,Fin Donnelly,Francine Raynault,Francis Scarpaleggia,Francois Choquette,Francois Lapointe,Francois Pilon,Francoise Boivin,Frank Valeriote,Gail Shea,Garry Breitkreuz,Gary Goodyear,Gary Schellenberger,Geoff Regan,Gerald Keddy,Gerry Byrne,Gerry Ritz,Glenn Thibeault,Gord Brown,Gordon Oconnor,Greg Kerr,Greg Rickford,Guy Caron,Guy Lauzon,Harold Albrecht,Hedy Fry,Helene Laverdiere,Helene Leblanc,Hoang Mai,Irene Mathyssen,Irwin Cotler,Isabelle Morin,Jack Harris,Jacques Gourde,James Bezan,James Lunney,James Moore,James Rajotte,Jamie Nicholls,Jasbir Sandhu,Jason Kenney,Jay Aspin,Jean Crowder,Jean Francois Fortin,Jean Francois Larose,Jean Rousseau,Jeff Watson,Jim Eglinski,Jim Flaherty,Jim Hillyer,Jim Karygiannis,Jinny Sims,Joan Crockatt,Joe Comartin,Joe Daniel,Joe Oliver,Joe Preston,John Baird,John Barlow,John Carmichael,John Duncan,John Mccallum,John Mckay,John Rafferty,John Weston,John Williamson,Jonathan Genest Jourdain,Jonathan Tremblay,Jose Nunez Melo,Joy Smith,Joyce Bateman,Joyce Murray,Judy Foote,Judy Sgro,Julian Fantino,Justin Trudeau,Keith Ashfield,Kellie Leitch,Kelly Block,Kennedy Stewart,Kerry Lynne Findlay,Kevin Lamoureux,Kevin Sorenson,Kirsty Duncan,Kyle Seeback,Larry Maguire,Larry Miller,Laurie Hawn,Laurin Liu,Lavar Payne,Lawrence Macaulay,Lawrence Toet,Lee Richardson,Leon Benoit,Leona Aglukkaq,Libby Davies,Linda Duncan,Lisa Raitt,Lise St Denis,Lois Brown,Louis Plamondon,Lynne Yelich,Lysane Blanchette Lamothe,Malcolm Allen,Manon Perreault,Marc Andre Morin,Marc Garneau,Maria Mourani,Marie Claude Morin,Marjolaine Boutin Sweet,Mark Adler,Mark Eyking,Mark Strahl,Mark Warawa,Massimo Pacetti,Mathieu Ravignat,Matthew Dube,Matthew Kellway,Maurice Vellacott,Mauril Belanger,Maxime Bernier,Megan Leslie,Merv Tweed,Michael Chong,Michelle Rempel,Mike Allen,Mike Lake,Mike Sullivan,Mike Wallace,Murray Rankin,Mylene Freeman,Nathan Cullen,Niki Ashton,Nina Grewal,Nycole Turmel,Olivia Chow,Parm Gill,Pat Martin,Pat Perkins,Patricia Davidson,Patrick Brown,Paul Calandra,Paul Dewar,Paulina Ayala,Peggy Nash,Peter Braid,Peter Goldring,Peter Julian,Peter Kent,Peter Mackay,Peter Penashue,Peter Stoffer,Peter Van Loan,Phil Mccoleman,Philip Toone,Pierre Dionne Labelle,Pierre Jacob,Pierre Lemieux,Pierre Luc Dusseault,Pierre Nantel,Pierre Poilievre,Ralph Goodale,Randall Garrison,Randy Hoback,Randy Kamp,Rathika Sitsabaiesan,Ray Boughen,Raymond Cote,Rejean Genest,Rick Dykstra,Rick Norlock,Rob Anders,Rob Clarke,Rob Merrifield,Rob Moore,Rob Nicholson,Robert Aubin,Robert Chisholm,Robert Goguen,Robert Sopuck,Rod Bruinooge,Rodger Cuzner,Rodney Weston,Romeo Saganash,Ron Cannan,Rona Ambrose,Rosane Dore Lefebvre,Roxanne James,Royal Galipeau,Russ Hiebert,Ruth Ellen Brosseau,Ryan Cleary,Ryan Leef,Sadia Groguhe,Sana Hassainia,Scott Andrews,Scott Armstrong,Scott Brison,Scott Reid,Scott Simms,Sean Casey,Shelly Glover,Stella Ambler,Stephane Dion,Stephen Harper,Stephen Woodworth,Steven Blaney,Steven Fletcher,Susan Truppe,Sylvain Chicoine,Tarik Brahmi,Ted Falk,Ted Hsu,Ted Menzies,Ted Opitz,Terence Young,Thomas Mulcair,Tilly Oneill Gordon,Tim Uppal,Tom Lukiwski,Tony Clement,Tyrone Benskin,Vic Toews,Wai Young,Wayne Easter,Wayne Marston,Wladyslaw Lizon,Yvon Godin,Yvonne Jones
C-347,,An Act to amend the Income Tax Act (tax credit for gifts),Brian Masse,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-348,Workplace Psychological Harassment Prevention Act,An Act to prevent psychological harassment in the workplace and to make consequential amendments to another Act,Brian Masse,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-349,,An Act to amend the Canada Consumer Product Safety Act and the Textile Labelling Act (animal fur or skin),Brian Masse,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-35,Justice for Animals in Service Act (Quanto's Law),"An Act to amend the Criminal Code (law enforcement animals, military animals and service animals)",Peter Mackay,In committee (House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-350,,An Act to amend the Corrections and Conditional Release Act (accountability of offenders),Guy Lauzon,In committee (Senate),,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Didn't vote,Yes,Yes,Didn't vote,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Yes,
C-351,Canadian Autism Day Act,An Act respecting a Canadian Autism Day,Don Davies,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-352,National Office for Fire and Emergency Response Statistics Act,An Act to amend the Statistics Act (National Office for Fire and Emergency Response Statistics),Don Davies,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-353,,An Act to amend the Excise Tax Act and the Income Tax Act (extra-energy-efficient products),Don Davies,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-354,Defence of Canada Medal Act (1946-1989),An Act respecting the establishment and award of a Defence of Canada Medal (1946-1989),Carol Hughes,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-355,,An Act to amend the Canada Elections Act (voting hours),Don Davies,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-356,National Strategy for Dementia Act,An Act respecting a National Strategy for Dementia,Claude Gravelle,Second reading (House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-357,,An Act to amend the Canada Pension Plan (arrears of benefits),Chris Charlton,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-358,Stelco Inc. Acquisition Act,An Act respecting the acquisition of Stelco Inc. by the United States Steel Corporation,Chris Charlton,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-359,Protecting Canadians Abroad Act,An Act to Protect Canadian Citizens Abroad,Irwin Cotler,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-36,Protection of Communities and Exploited Persons Act,An Act to amend the Criminal Code in response to the Supreme Court of Canada decision in Attorney General of Canada v. Bedford and to make consequential amendments to other Acts,Peter Mackay,Law (royal assent given),No,No,No,Didn't vote,No,Yes,No,No,Didn't vote,Didn't vote,No,Didn't vote,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Didn't vote,Yes,Yes,No,No,Yes,No,Didn't vote,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Didn't vote,Didn't vote,No,No,No,No,Didn't vote,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Didn't vote,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,,,Yes,,No,Yes,Didn't vote,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,No,No,Didn't vote,Yes,Yes,Didn't vote,No,No,Yes,Yes,No,No,No,Yes,No,Didn't vote,Yes,Yes,No,Yes,No,Yes,No,Didn't vote,Yes,Yes,Yes,No,Yes,Didn't vote,Yes,,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Didn't vote,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Didn't vote,Yes,No,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,,Yes,No,,Yes,Yes,Yes,No,No,Didn't vote,Yes,Yes,No,Yes,Yes,,Didn't vote,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Didn't vote,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Didn't vote,No,No,Yes,No,Didn't vote,No,Yes,No,Didn't vote,No,No,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,No,No,Yes,No,No
C-360,Canadian Football Act,An Act to support Canadian professional football,Peter Julian,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-361,,An Act to amend the Canada Labour Code (minimum age of employment),Chris Charlton,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-362,,An Act to amend the Employment Insurance Act (increase of maximum number of weeks: combined weeks of benefits),Chris Charlton,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-363,Conscientious Objection Act,An Act respecting conscientious objection to the use of taxes for military purposes,Alex Atamanenko,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-364,Holidays Harmonization Act,An Act respecting the harmonization of holidays,Chris Charlton,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-365,,An Act to amend the Competition Act (inquiry into industry sector),Andre Bellavance,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-366,ALS Month Act,An Act to designate the month of June as Amyotrophic Lateral Sclerosis (also known as ALS or Lou Gehrig's disease) Month,David Tilson,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-367,,An Act to amend the Income Tax Act (tax credit for dues paid to veterans' organizations),Don Davies,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-368,,An Act to amend the Canada Elections Act (voting age),Don Davies,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-369,,An Act to amend the Excise Tax Act (no GST on batteries for medical and assistive devices),Don Davies,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
